term,estimate,std.error,statistic,p.value,conf.low,conf.high,year,variable
race5Black,0.9313762733558775,0.04915662170220051,-1.4462328872265728,0.14811189237510272,0.8458282945781012,1.0255766662463945,1999,race5
race5Hispanic,0.7786972265868525,0.0508734773407688,-4.916765888125357,8.798566760364216e-7,0.7047973293577645,0.8603457269717528,1999,race5
race5Other,0.7067574969906132,0.05445845698357183,-6.373072135909458,1.8527868271892465e-10,0.6352057921578155,0.7863690251557646,1999,race5
race5White,1.1010861497227977,0.04850495756167393,1.985304313550743,0.047110624419313935,1.0012281381997166,1.210903552202743,1999,race5
race5Black,0.9492201331372085,0.04931318066786925,-1.056807597929459,0.2905994060156183,0.8617686962725899,1.0455460555137346,2000,race5
race5Hispanic,0.8587122965561931,0.05084806488688623,-2.995617272308315,0.0027388996150031846,0.7772575249250693,0.9487033378388948,2000,race5
race5Other,0.7231757657447294,0.05444135344356165,-5.953249868360728,2.6286948939194944e-9,0.6499836742342037,0.8046097292776515,2000,race5
race5White,1.1278209342951735,0.04865956481487559,2.4720195246251335,0.013435217841568113,1.0252276107887786,1.240680651251497,2000,race5
race5Black,0.9319013681729699,0.04745888062589337,-1.4860927419103294,0.13725459184822703,0.8491259912747003,1.022745939856297,2001,race5
race5Hispanic,0.8083175003212804,0.048954276003373466,-4.3469206180730176,1.3806215761399274e-5,0.7343638001184003,0.8897186669880787,2001,race5
race5Other,0.7482476029200553,0.0522099613521833,-5.554904242884464,2.777639878571072e-8,0.6754657270097162,0.8288717737821734,2001,race5
race5White,1.086137454832036,0.046768518941600695,1.7667393622739267,0.07727188801723561,0.9910022107807535,1.1904055893675551,2001,race5
race5Black,0.9487436837750106,0.04795259500714576,-1.0972629886716445,0.2725264451354033,0.8636361738659114,1.0422381608609292,2002,race5
race5Hispanic,0.8204783771743596,0.04945720438679868,-4.000786629229253,6.313226505489718e-5,0.7446776471504347,0.9039948627257216,2002,race5
race5Other,0.7445669576506228,0.05272702982283208,-5.593952390113246,2.219578429849761e-8,0.6714622560895093,0.8256308517677912,2002,race5
race5White,1.110589229514077,0.04728909545255182,2.2180739740565443,0.026549789024043313,1.0122788585077753,1.218447294780875,2002,race5
race5Black,0.954193377577644,0.047752280599820604,-0.9819201433473551,0.32613919125001833,0.8689380924982597,1.047813428451873,2003,race5
race5Hispanic,0.8492872425126556,0.049149591271836074,-3.3236862252733257,8.883608771869507e-4,0.7712898633808237,0.9351721765577187,2003,race5
race5Other,0.7577089367696143,0.052462499246075205,-5.288653028354264,1.2322037669025877e-7,0.683668277074637,0.8397681333367785,2003,race5
race5White,1.1427983356378946,0.04708945234961642,2.8346036813665756,0.00458825666856696,1.0420444579277164,1.2532939703301358,2003,race5
race5Black,0.9136288841539417,0.046949806249587035,-1.923987169292378,0.05435619176257987,0.8333075934973613,1.0016922256247505,2004,race5
race5Hispanic,0.8041103042724131,0.04835504546700503,-4.508708920427942,6.522332147938005e-6,0.7314000433769524,0.8840488694144478,2004,race5
race5Other,0.7336717737780201,0.05167298542450775,-5.993335251005299,2.055804245926661e-9,0.6630051132712057,0.8118704680613863,2004,race5
race5White,1.100772986788553,0.046261767441347384,2.0754211001473863,0.03794752430648021,1.005353865078846,1.2052484309575537,2004,race5
race5Black,0.9268939288865058,0.04576297009333522,-1.6588989717894933,0.09713615188613046,0.8473753201503709,1.0138746491391861,2005,race5
race5Hispanic,0.8283078671730569,0.047065229254477224,-4.0023256325616385,6.272289072369924e-5,0.7553166431254902,0.9083527141434764,2005,race5
race5Other,0.8094519119632843,0.050226917809859065,-4.208856952865911,2.566658084645751e-5,0.7335623576664569,0.8931925022234235,2005,race5
race5White,1.1314699117493603,0.04505969107977133,2.7411993137539064,0.006121536134381411,1.0358274746919616,1.235943429261541,2005,race5
race5Black,0.9330542052852127,0.046387131513934775,-1.4937759615738246,0.13523418652172634,0.8519642102796179,1.021862349962669,2006,race5
race5Hispanic,0.8267982464254631,0.047617938252025385,-3.9941790651996643,6.491878877882286e-5,0.7531237432123609,0.9076799748424144,2006,race5
race5Other,0.7894291395596759,0.05065116241836812,-4.668110100366553,3.039829969056498e-6,0.7148221694914962,0.8718229414026925,2006,race5
race5White,1.1329759805649986,0.04568260010222284,2.7329394930982502,0.006277186274173427,1.0359406823368034,1.2391004566416737,2006,race5
educ20032,0.8928853263944818,0.018175507329443844,-6.2335052436102885,4.561120809354281e-10,0.8616370827961976,0.9252668228987446,2006,educ2003
educ20033,0.908000623991594,0.014212602171874786,-6.79046750190837,1.1177075411602625e-11,0.8830557764173641,0.9336501217556749,2006,educ2003
educ20034,0.8499409287476982,0.01824912155553349,-8.909383775480887,5.131698689908682e-19,0.8200772746773561,0.8808920874495813,2006,educ2003
educ20035,0.826624401762471,0.02523669522694137,-7.544761902708001,4.5311456256312414e-14,0.7867310896637868,0.868540611355753,2006,educ2003
educ20036,0.8601929982063976,0.01951997219947868,-7.715097995741965,1.2088931236439223e-14,0.8279043555381045,0.893740912478212,2006,educ2003
educ20037,0.8115587954614557,0.02831702734290659,-7.373600318495528,1.6608060744379462e-13,0.7677433238551458,0.8578748365842069,2006,educ2003
educ20038,0.7697884543414466,0.04061662819776916,-6.4416852927428785,1.1815408298337198e-10,0.7108824966323862,0.8335755448256975,2006,educ2003
educ20039,1.0124793239673857,0.032413760681521936,0.38261833111416993,0.7020027764607739,0.9501562141876315,1.0788903615579792,2006,educ2003
race5Black,0.8612951659187621,0.045383516662558736,-3.290137625376407,0.0010013839169995852,0.7879901348708941,0.9414196066763841,2007,race5
race5Hispanic,0.7693560188079657,0.04657998125931816,-5.629058796994369,1.8119562881431824e-8,0.7022272449812498,0.8429019066211927,2007,race5
race5Other,0.7041010340488438,0.04974361716245431,-7.052832883093199,1.7531135887898464e-12,0.6386933000266829,0.7762070873891109,2007,race5
race5White,1.030441681129729,0.0446621490206931,0.6714304531758974,0.5019463502309564,0.9440744162939262,1.124710128654604,2007,race5
educ20032,0.852929755203103,0.017554807637814807,-9.06179597366847,1.2832004404830866e-19,0.82408177858552345,0.8827875900368862,2007,educ2003
educ20033,0.9022967260290243,0.013673371899021488,-7.519129094147384,5.5142317817342146e-14,0.8784364990194352,0.926805048186737,2007,educ2003
educ20034,0.8162499414910592,0.017607988512588733,-11.530827040607887,9.225318557566755e-31,0.7885603580604231,0.8449118195884575,2007,educ2003
educ20035,0.8286018696493556,0.023989441495739932,-7.837426852109744,4.5987267611723154e-15,0.7905433396035976,0.8684926227203181,2007,educ2003
educ20036,0.8207205302314253,0.018827685260848413,-10.49372912332002,9.231154326497309e-26,0.7909860935170366,0.8515727321429122,2007,educ2003
educ20037,0.8571801419759362,0.026832155070105463,-5.743376981787094,9.280679408260885e-9,0.8132650516807352,0.9034665811341557,2007,educ2003
educ20038,0.7620962331148017,0.038849350914933564,-6.993229865986895,2.6862883342137993e-12,0.7062209226163081,0.8223923278513734,2007,educ2003
educ20039,0.971965305004963,0.030153907908648612,-0.9430011421485579,0.3456803187191768,0.9161851287566667,1.031141550415082,2007,educ2003
race5Black,0.8650921765688866,0.045172447106349864,-3.2081329328710155,0.0013359973097140912,0.7917914745463792,0.9451787472067017,2008,race5
race5Hispanic,0.7626990422775671,0.04632034496253416,-5.848224268016514,4.968483891175307e-9,0.6965054634530424,0.8351834402090607,2008,race5
race5Other,0.6927229686199262,0.049429152606656,-7.427299418198074,1.108372746940919e-13,0.6287596212449076,0.7631932697960122,2008,race5
race5White,1.0143561463480992,0.04445725447002957,0.3206242223577345,0.7484951791845516,0.9297103935478386,1.1067084962960811,2008,race5
educ20032,0.9076201095745566,0.016112850181985435,-6.015656346200107,1.7915928898110613e-9,0.8794042795455286,0.9367412491213397,2008,educ2003
educ20033,0.8972166390115678,0.012659430496107665,-8.567362572407392,1.0588210703310284e-17,0.8752283854032977,0.919757300773875,2008,educ2003
educ20034,0.8610471597812946,0.016295497779450132,-9.180818212127328,4.2782813145418276e-20,0.8339805665138861,0.8889921913487293,2008,educ2003
educ20035,0.8485911995872149,0.021774312510222767,-7.539972465181137,4.7007070037130374e-14,0.8131372460962295,0.8855909964449573,2008,educ2003
educ20036,0.8278451351610655,0.017408381785250112,-10.852770765849156,1.934699396205604e-27,0.800075160406791,0.8565789837312212,2008,educ2003
educ20037,0.8173597858849507,0.02485652007674596,-8.11360182501862,4.914098011504691e-16,0.7784934619504091,0.8581665129314211,2008,educ2003
educ20038,0.8043245487242983,0.0356143182618737,-6.114182000798827,9.705349176585242e-10,0.7500941946428714,0.8624756521260116,2008,educ2003
educ20039,1.023338552188423,0.017781954197986127,1.297403677881392,0.19449232772142194,0.9882868815394626,1.0596334039806656,2008,educ2003
race5Black,0.8790464618607983,0.04528122010470225,-2.8470417705441924,0.004412757186202403,0.8043918793166196,0.9606296408243994,2009,race5
race5Hispanic,0.7634744583960478,0.04640039926197713,-5.816234611939837,6.01879765688543e-9,0.6971041935856438,0.836163738486428,2009,race5
race5Other,0.7100299040912087,0.049402051285739615,-6.931861784740533,4.1533766376742244e-12,0.644502735706858,0.7822192781708724,2009,race5
race5White,1.0198812677895148,0.04455709281192762,0.44182003695485633,0.6586194379874682,0.9345915542422645,1.1129544191433158,2009,race5
educ20032,0.9069856151499756,0.016543499266236567,-5.901332434826147,3.6057752463281416e-9,0.8780480612616689,0.9368768549035359,2009,educ2003
educ20033,0.9274562167620468,0.012921174137799515,-5.828393802220105,5.596339221081942e-9,0.904262854527489,0.9512444636023916,2009,educ2003
educ20034,0.8747933519244718,0.01642642713464986,-8.143437927769007,3.8420951879187084e-16,0.8470772477202498,0.9034163184418144,2009,educ2003
educ20035,0.9041377259130043,0.021576410217729394,-4.670544242703303,3.0040277206898305e-6,0.866699168223614,0.9431935063404003,2009,educ2003
educ20036,0.8250004582663821,0.017454064104483122,-11.021578471445899,3.0073852174932747e-28,0.7972545206387435,0.8537120060409786,2009,educ2003
educ20037,0.8285153456785985,0.02442803991104286,-7.70098299858613,1.3502345632427451e-14,0.7897815598544737,0.8691487784944125,2009,educ2003
educ20038,0.8244510432341359,0.03477056300304192,-5.551751239957411,2.8282186807189892e-8,0.7701362592291605,0.8825964425700398,2009,educ2003
educ20039,0.9111877632969048,0.018602811669113692,-4.999582741106599,5.745451327282627e-7,0.8785628715105392,0.9450241603705836,2009,educ2003
race5Black,0.8298316555298253,0.04372179506155609,-4.2663486977933625,1.9869813958087484e-5,0.7616812318340642,0.9040797485074306,2010,race5
race5Hispanic,0.7463650363456737,0.04482394612091562,-6.526432831447845,6.73545004026935e-11,0.683591058396239,0.8149035313396131,2010,race5
race5Other,0.7033739495218183,0.04771815925031539,-7.373850966597829,1.6576849455363853e-13,0.6405717213142874,0.7723333647180887,2010,race5
race5White,0.9831124038108551,0.042954416919673714,-0.39650911062049254,0.6917294881721219,0.9037319529222109,1.0694653380369639,2010,race5
educ20032,0.8944911317590268,0.015624652253905023,-7.13617739827948,9.596214861586597e-13,0.867513150075147,0.9223080765130027,2010,educ2003
educ20033,0.9040882496479522,0.012161707720090415,-8.2906368400931,1.1264371846240652e-16,0.8827923685850068,0.9258978580225349,2010,educ2003
educ20034,0.8612417556240219,0.015438473544597424,-9.675828950229127,3.8198333474767093e-22,0.8355714328970577,0.8877007188465351,2010,educ2003
educ20035,0.8671661701712952,0.02001378321801834,-7.121325234536174,1.0689421578130132e-12,0.8338083705261249,0.901858500431054,2010,educ2003
educ20036,0.8525363087010122,0.0163615125813534,-9.750900418682786,1.8283927475811302e-22,0.8256304154294302,0.8803190193465825,2010,educ2003
educ20037,0.8441953786021887,0.022820240690478576,-7.4219778063948505,1.153841515662968e-13,0.8072684681934845,0.8828114379942342,2010,educ2003
educ20038,0.7925039926223657,0.03264862139700447,-7.123049160520914,1.0556514527760091e-12,0.7433791761312815,0.8448751303352009,2010,educ2003
educ20039,1.0115173756627045,0.025753733793635884,0.4446561296420584,0.6565682776130416,0.9617259322253372,1.0638866718505327,2010,educ2003
race5Black,0.8193741922475216,0.043997439629873986,-4.527863711068656,5.958298885767648e-6,0.751676381088194,0.893169033659588,2011,race5
race5Hispanic,0.7202596949740167,0.045071438067605274,-7.280518630180134,3.32539256718758e-13,0.6593614164643312,0.7867825069077682,2011,race5
race5Other,0.6649600430936777,0.04791675145684263,-8.515358685623978,1.6607545316588446e-17,0.6053520081115544,0.7304375850516088,2011,race5
race5White,0.9481463578783487,0.043236003137780386,-1.2315292541286353,0.21812498224696725,0.8711083010227705,1.0319974162827759,2011,race5
educ20032,0.8706545256281232,0.015446342594201324,-8.96717271662748,3.04222850098885e-19,0.8446906161798515,0.8974165078629576,2011,educ2003
educ20033,0.9014251293896091,0.011926728964261784,-8.701320474976209,3.2804442163765768e-18,0.880597451507051,0.9227454184706633,2011,educ2003
educ20034,0.854244524182927,0.015052185306237097,-10.466108069324584,1.2362159745816643e-25,0.8294104918727304,0.8798221317997144,2011,educ2003
educ20035,0.8649245493738923,0.019362970028583906,-7.494356588778074,6.662436822486212e-14,0.8327145078190722,0.8983805002616487,2011,educ2003
educ20036,0.8523497892785856,0.01591627486244375,-10.037416857272682,1.0437153941768746e-23,0.826170438828312,0.8793587002623615,2011,educ2003
educ20037,0.8342719294434909,0.022114983362878367,-8.193353452083342,2.540467296002222e-16,0.7988826279676886,0.8712289238632884,2011,educ2003
educ20038,0.8148057145952842,0.031816222486900136,-6.437143229179664,1.217430438002246e-10,0.7655464570405673,0.8672345700660075,2011,educ2003
educ20039,1.0431120189735688,0.02571626957215719,1.6413177998011081,0.10073146307577321,0.9918381726955396,1.097036506641007,2011,educ2003
race5Black,0.7913526434984863,0.042889134338504,-5.456197573709462,4.864386620845839e-8,0.7275487338866791,0.8607519705608939,2012,race5
race5Hispanic,0.7151146958466575,0.043887586920099024,-7.6402545437724205,2.1679271543216142e-14,0.6561722122968359,0.7793518509810317,2012,race5
race5Other,0.6814117458126936,0.04661327232214582,-8.229169870083366,1.885152845818118e-16,0.6219158095093371,0.746599395339108,2012,race5
race5White,0.9132224192106738,0.04211303589771539,-2.1555276775421466,0.03112056516287624,0.8408707097102868,0.9917995445891238,2012,race5
educ20032,0.866995802506177,0.014400781359866322,-9.91065276576535,3.741932992608449e-23,0.8428665180640356,0.891815851565505,2012,educ2003
educ20033,0.8900969831354338,0.011141951385415997,-10.449233563344034,1.477141005187994e-25,0.8708695557757467,0.9097489217900906,2012,educ2003
educ20034,0.8365911022910524,0.014159394231731412,-12.600811353221593,2.089836050505314e-36,0.8136928907304061,0.8601336946723366,2012,educ2003
educ20035,0.8589102473915949,0.017887979166130902,-8.502405220658465,1.8570226420547603e-17,0.8293182621419202,0.8895581428159177,2012,educ2003
educ20036,0.8298207709626897,0.014890192905558012,-12.528080817484065,5.2415749227669177e-36,0.8059526233195715,0.8543957696730174,2012,educ2003
educ20037,0.8109221926619076,0.020583401934524972,-10.182144338121763,2.3825238797651518e-24,0.7788579201277134,0.8443064974466289,2012,educ2003
educ20038,0.8076582130334771,0.02958212579076238,-7.2211278910347145,5.155813497538812e-13,0.762161136693853,0.8558712294227774,2012,educ2003
educ20039,1.0668358620374672,0.02500864037003953,2.5869910663467044,0.00968181023307224,1.0158037734078873,1.1204317077016956,2012,educ2003
race5Black,0.8326938463990259,0.043084511725959396,-4.24953720886374,2.142126253655228e-5,0.7652636387655913,0.9060655788497409,2013,race5
race5Hispanic,0.7399460231855863,0.044039060123724105,-6.838884304961485,7.98123074433275e-12,0.6787553029628562,0.8066531706465746,2013,race5
race5Other,0.7170553259350085,0.046615022337917464,-7.1350878233864465,9.67253818415144e-13,0.654445005709489,0.7856555340266479,2013,race5
race5White,0.9550185776480994,0.04231968078255684,-1.0875433085715944,0.27679676953119675,0.8789994034292251,1.0376121759523307,2013,race5
educ20032,0.866968681577538,0.014474126950934077,-9.862593169584068,6.046718826379881e-23,0.8427189961704433,0.8919161645245188,2013,educ2003
educ20033,0.9080072945288679,0.0111415160357852,-8.661556154571459,4.653671795873612e-18,0.8883937356833358,0.9280538727386026,2013,educ2003
educ20034,0.861788350364967,0.014031923346749773,-10.600511990425726,2.963533288934478e-26,0.8384099132748657,0.8858186777919097,2013,educ2003
